id,horario_id,persona_id,fecha,created_at,updated_at
2171340,50010,1729032,2013-01-17,2013-01-17 23:47:02 UTC,2013-01-17 23:47:02 UTC
2171901,50010,1794962,2013-01-18,2013-01-19 03:09:34 UTC,2013-01-19 03:09:34 UTC
2171902,50010,1841184,2013-01-18,2013-01-19 03:09:34 UTC,2013-01-19 03:09:34 UTC
2171903,50010,1840723,2013-01-18,2013-01-19 03:09:34 UTC,2013-01-19 03:09:34 UTC
2171904,50010,50065,2013-01-18,2013-01-19 03:09:34 UTC,2013-01-19 03:09:34 UTC
2171905,50010,1729032,2013-01-18,2013-01-19 03:09:34 UTC,2013-01-19 03:09:34 UTC
2171906,50010,50737,2013-01-18,2013-01-19 03:09:34 UTC,2013-01-19 03:09:34 UTC
2171907,50010,1758285,2013-01-18,2013-01-19 03:09:34 UTC,2013-01-19 03:09:34 UTC
2171908,50010,50950,2013-01-18,2013-01-19 03:09:34 UTC,2013-01-19 03:09:34 UTC
2171909,50010,1841138,2013-01-18,2013-01-19 03:09:34 UTC,2013-01-19 03:09:34 UTC
2172600,50010,1840723,2013-01-21,2013-01-21 23:31:44 UTC,2013-01-21 23:31:44 UTC
2172601,50010,1731670,2013-01-21,2013-01-21 23:31:44 UTC,2013-01-21 23:31:44 UTC
2172602,50010,1729032,2013-01-21,2013-01-21 23:31:44 UTC,2013-01-21 23:31:44 UTC
2172603,50010,50057,2013-01-21,2013-01-21 23:31:44 UTC,2013-01-21 23:31:44 UTC
2172604,50010,1674088,2013-01-21,2013-01-21 23:31:44 UTC,2013-01-21 23:31:44 UTC
2172605,50010,1842048,2013-01-21,2013-01-21 23:31:44 UTC,2013-01-21 23:31:44 UTC
2173817,50010,1794962,2013-01-22,2013-01-23 17:39:02 UTC,2013-01-23 17:39:02 UTC
2173818,50010,1732971,2013-01-22,2013-01-23 17:39:02 UTC,2013-01-23 17:39:02 UTC
2173819,50010,50065,2013-01-22,2013-01-23 17:39:02 UTC,2013-01-23 17:39:02 UTC
2173820,50010,1729032,2013-01-22,2013-01-23 17:39:02 UTC,2013-01-23 17:39:02 UTC
2173821,50010,50950,2013-01-22,2013-01-23 17:39:02 UTC,2013-01-23 17:39:02 UTC
2175030,50010,1732971,2013-01-24,2013-01-25 00:21:03 UTC,2013-01-25 00:21:03 UTC
2175031,50010,1731670,2013-01-24,2013-01-25 00:21:03 UTC,2013-01-25 00:21:03 UTC
2175032,50010,50737,2013-01-24,2013-01-25 00:21:03 UTC,2013-01-25 00:21:03 UTC
2175033,50010,50950,2013-01-24,2013-01-25 00:21:03 UTC,2013-01-25 00:21:03 UTC
2175034,50010,1674088,2013-01-24,2013-01-25 00:21:03 UTC,2013-01-25 00:21:03 UTC
2175035,50010,50073,2013-01-24,2013-01-25 00:21:03 UTC,2013-01-25 00:21:03 UTC
2175275,50010,50869,2013-01-25,2013-01-25 16:53:52 UTC,2013-01-25 16:53:52 UTC
2175276,50010,1778350,2013-01-25,2013-01-25 16:53:52 UTC,2013-01-25 16:53:52 UTC
2175277,50010,1672156,2013-01-25,2013-01-25 16:53:52 UTC,2013-01-25 16:53:52 UTC
2175397,50010,1794962,2013-01-25,2013-01-26 00:43:01 UTC,2013-01-26 00:43:01 UTC
2175398,50010,1841184,2013-01-25,2013-01-26 00:43:01 UTC,2013-01-26 00:43:01 UTC
2175399,50010,1732971,2013-01-25,2013-01-26 00:43:01 UTC,2013-01-26 00:43:01 UTC
